,Type_of_Accomordation,Location_of_Accomodation,Info_Of_Accomordation,No_of_guest,Rooms,Beds,Bath,Ratings,Review,Total/Night
1,Entire home ,Mounta,A/C All Rms/WorkStations/Dishwasher AlohaHaleNohea,8 guests , 3 bedrooms , 3 beds , 2 baths,4.96 ,217 reviews ,$332 CAD per night
2,Entire bungalow ,Pepeekeo,Heavenly Hakalau: Oceanfront Cliff House,4 guests , 2 bedrooms , 2 beds , 2 baths,4.97 ,154 reviews ,$742 CAD per night
3,Entire rental unit ,Kihei,3 minutes walk to the beach 2BR/2BA Top floor,4 guests , 2 bedrooms , 3 beds , 2 baths,4.85 ,171 reviews ,$496 CAD per night
4,Entire guest suite ,Honolulu,Honolulu Hale with free parking,6 guests , 2 bedrooms , 2 beds , 1 bath,4.83 ,124 reviews ,$379 CAD per night
5,Entire condo ,Honolulu,2 Bedroom Condo With Parking,4 guests , 2 bedrooms , 2 beds , 1 bath,4.80 ,202 reviews ,$397 CAD per night
9,Entire condo ,Honolulu,STUNNING PENTHOUSE -  100FT TO BEACH - LEGAL!!,4 guests , 1 bedroom , 1 bed , 2 baths,4.95 ,110 reviews ,$523 CAD per night
10,Entire condo ,WaileaMakena,HGTV Inspired Remodel! Ocean View & min. to beach!,6 guests , 2 bedrooms , 3 beds , 2 baths,4.95 ,192 reviews ,$765 CAD per night
11,Entire home ,Capta,Makai Hideaway,8 guests , 3 bedrooms , 8 beds , 3 baths,4.86 ,166 reviews ,$452 CAD per night
15,Entire condo ,Pr,Newly Renovated Northshore Condo,5 guests , 2 bedrooms , 3 beds , 1.5 baths,4.92 ,172 reviews ,$469 CAD per night
16,Entire condo ,Pr,OCEAN FRONT 2b/2ba Amazing Views! Princeville pool,4 guests , 2 bedrooms , 2 beds , 2 baths,4.95 ,204 reviews ,$638 CAD per night
17,Entire condo ,Kapaa,"BIG Ocean View, pool,Full Kitchen, King, WiFi, 203",4 guests , 2 bedrooms , 2 beds , 1 bath,4.87 ,149 reviews ,$493 CAD per night
19,Entire condo ,Honolulu,1/2 block to Beach OCEANVIEW in all rooms 1carport,6 guests , 2 bedrooms , 3 beds , 2 baths,4.74 ,171 reviews ,$842 CAD per night
24,Entire condo ,Honolulu,1/2 block to Beach OCEANVIEW in all rooms 1carport,6 guests , 2 bedrooms , 3 beds , 2 baths,4.74 ,171 reviews ,$842 CAD per night
25,Entire condo ,Pr,Newly Renovated Northshore Condo,5 guests , 2 bedrooms , 3 beds , 1.5 baths,4.92 ,172 reviews ,$469 CAD per night
30,Entire condo ,Laha,Newly Remodled Condo! Has it ALL!,6 guests , 2 bedrooms , 4 beds , 1 bath,4.78 ,94 reviews ,$597 CAD per night
37,Entire rental unit ,Kahuku,Hale Honu- Paradise at Turtle Bay,6 guests , 2 bedrooms , 3 beds , 2 baths,4.63 ,366 reviews ,$645 CAD per night
39,T,yhomes,"Tiki Tiny House at Volcano, Hawaii",6 guests , 2 bedrooms , 3 beds , 1 bath,4.84 ,212 reviews ,$322 CAD per night
42,Entire home ,KailuaKona,Watch Rain Fall Inside Your Home Into The Indoor Water Feature. Amazing Entry Across An Indoor Pond. Expansive Unfettered Ocean Views,8 guests , 4 bedrooms , 5 beds , 3.5 baths,4.73 ,88 reviews ,$3
44,Entire rental unit ,Kihei,Spacious condo close to beach,4 guests , 1 bedroom , 2 beds , 1 bath,4.82 ,296 reviews ,$334 CAD per night
50,Entire condo ,WaileaMakena,Beautiful & Spacious Wailea Condo!! Walk to beach,6 guests , 2 bedrooms , 2 beds , 2 baths,4.90 ,191 reviews ,$725 CAD per night
52,Entire rental unit ,Kihei,Great 1 Bdrm Across fr Beach OceanView!,4 guests , 1 bedroom , 2 beds , 1 bath,4.87 ,334 reviews ,$365 CAD per night
53,Entire home ,Pr,"AC, Hot Tub & Plunge Pool! Steps to Queen's Bath!",16 guests , 4 bedrooms , 9 beds , 2.5 baths,4.75 ,97 reviews ,$959 CAD per night
54,Entire rental unit ,Kihei,"Great value, nice Kihei condo",4 guests , 1 bedroom , 2 beds , 1 bath,4.79 ,248 reviews ,$334 CAD per night
56,Entire condo ,Kihei,Fun in the sun and beach at cozy Kihei get away!,4 guests , 2 bedrooms , 2 beds , 2 baths,4.89 ,240 reviews ,$499 CAD per night
60,Entire cottage ,Capta,Honaunau Ocean View! Families Here!,6 guests , 3 bedrooms , 4 beds , 2 baths,4.84 ,60 reviews ,$286 CAD per night
61,Entire home ,Kaneohe,Step Into Serenity,4 guests , 2 bedrooms , 3 beds , 1 bath,4.89 ,46 reviews ,$526 CAD per night
62,Entire home ,Honokaa,"Waiulililani at Waipio Valley, TA # 124-836-6592-01",6 guests , 3 bedrooms , 3 beds , 3 baths,4.83 ,92 reviews ,$439 CAD per night
64,Entire home ,Papaikou,"New! - Oceanfront Paradise in Hilo w AC, Pool and Hot Tub. Remote Work!",4 guests , 2 bedrooms , 2 beds , 2 baths,5.0 ,3 reviews ,$577 CAD per night
65,Entire condo ,WaikoloaVillage,Waikoloa Resort Villa with Private Ocean Club,4 guests , 2 bedrooms , 3 beds , 2 baths,5.0 ,18 reviews ,$769 CAD per night
67,Entire home ,Keaau,3 bedroom house in Keaau near the volcano,8 guests , 3 bedrooms , 3 beds , 2 baths,4.90 ,39 reviews ,$283 CAD per night
68,Entire condo ,Waimea,"Mauna Lani Golf Villa! Club Access, AC, Pool, Spa!",4 guests , 2 bedrooms , 3 beds , 2 baths,4.95 ,39 reviews ,$755 CAD per night
70,Entire condo ,KailuaKona,"Spacious 2/2, doorstep to beaches and restaurants.",6 guests , 2 bedrooms , 4 beds , 2 baths,5.0 ,10 reviews ,$389 CAD per night
73,Entire guest suite ,Honolulu,Breezy 2BD ★PRIME LOCATION★ | Bright | Spotless,7 guests , 2 bedrooms , 4 beds , 1 bath,4.84 ,31 reviews ,$382 CAD per night
74,Entire condo ,Kihei,Island Surf 311  Oceanview!! Steps from the Ocean. Air Purifier! Sanitized Cleaning! Watch the morning Surfers!,6 guests , 2 bedrooms , 3 beds , 2 baths,4.76 ,37 reviews ,$526 CAD per night
75,Entire guesthouse ,KailuaKona,Lani Wai Ka Napo'o,6 guests , 2 bedrooms , 3 beds , 2 baths,4.84 ,73 reviews ,$438 CAD per night
